text,label,source
lãi trái phiếu,Lãi đầu tư,synthetic
đóng học phí tháng 3,Gia đình,synthetic
tiền cho em tháng 10,Gia đình,synthetic
Rut tien tu Tikop TK11954205,Lãi đầu tư,synthetic
tiền cơm trưa,Ăn uống,synthetic
GARENA thanh toan luong thang 2,Thu nhập chính,synthetic
kính mát,Mua sắm cá nhân,synthetic
chuyển đến Đinh Thu Bình,Công việc & Khác,synthetic
Bùi Ngọc Kiên quỹ,Quỹ nhóm,synthetic
thuốc ho,Sức khoẻ,synthetic
liên hoan,Giải trí & Quan hệ,synthetic
HO KHANH SON hoàn tiền,Thu nhập phụ,synthetic
Starbucks,Ăn uống,synthetic
quà tặng Võ Gia Sơn,Giải trí & Quan hệ,synthetic
đóng quỹ tháng 12,Quỹ nhóm,synthetic
Nhận từ Vũ Thu Phong,Thu nhập phụ,synthetic
học phí con tháng 7,Gia đình,synthetic
tiền vitamin C,Sức khoẻ,synthetic
chuyển đến Đỗ Hữu Như,Công việc & Khác,synthetic
tiền tiêm phòng,Sức khoẻ,synthetic
trả góp tháng 9,Công việc & Khác,synthetic
Nạp tiền điện thoại FPT,Sinh hoạt & Nhà ở,synthetic
tiền nội soi,Sức khoẻ,synthetic
tennis,Sức khoẻ,synthetic
lương tháng 8,Thu nhập chính,synthetic
NGUYEN DUC TRANG quỹ,Quỹ nhóm,synthetic
quần jean,Mua sắm cá nhân,synthetic
tiền thể thao,Sức khoẻ,synthetic
thuốc,Sức khoẻ,synthetic
mua son môi,Mua sắm cá nhân,synthetic
đi vé xe khách,Di chuyển,synthetic
vé xe khách,Di chuyển,synthetic
hoàn tiền,Công việc & Khác,synthetic
Lê Thanh Phương,Công việc & Khác,synthetic
đi đổ xăng,Di chuyển,synthetic
Mai Thị Nghĩa chuyen tien quy,Quỹ nhóm,synthetic
giày,Mua sắm cá nhân,synthetic
trả tiền nhà,Sinh hoạt & Nhà ở,synthetic
LE TRAN QUOC HUU QUY ae% SP4020097042204050718442026UN LI202776.5189.93933.071845,Quỹ nhóm,real
đóng học phí tháng 6,Gia đình,synthetic
Nhận từ Huỳnh Gia Nhi Thu hồi nợ,Thu nhập phụ,synthetic
vé máy bay,Du lịch,synthetic
sinh nhật Võ Xuân Hằng,Giải trí & Quan hệ,synthetic
mua phở bò,Ăn uống,synthetic
TIKI THANH TOAN THU NHAP TANG THEM THANG 11 NAM 2026,Thu nhập chính,synthetic
đi vitamin C,Sức khoẻ,synthetic
tiền quỹ,Quỹ nhóm,synthetic
tiền nước mía,Ăn uống,synthetic
tiền thưởng thêm,Thu nhập phụ,synthetic
lì xì Hồ Bảo Sơn,Giải trí & Quan hệ,synthetic
gửi gia đình tháng 12,Gia đình,synthetic
Huỳnh Đình Trang chuyển trả,Thu nhập phụ,synthetic
đi khám răng,Sức khoẻ,synthetic
tiền trọ tháng 7,Sinh hoạt & Nhà ở,synthetic
lương tháng 6,Thu nhập chính,synthetic
MB BANK thanh toan luong thang 12,Thu nhập chính,synthetic
