text,label,source
quà tặng: phiếu mua hàng 80.000đ mua cà phê,Khác,synthetic
đùi bò,Thịt cá hải sản,real
hành tím túi 200gr,Rau củ quả,real
TÔM KHÔ - (KHAY) - VAT 8%,Thịt cá hải sản,synthetic
sữa chua chai 270ml,Đồ khô / Gia vị,synthetic
sầu riêng (kg),Trái cây,synthetic
chảo chống dính gói 1kg,Gia dụng,synthetic
BỘT CHIÊN GIÒN HŨ 150G,Đồ khô / Gia vị,synthetic
phi lê gà,Thịt cá hải sản,synthetic
bí xanh túi 500g,Rau củ quả,synthetic
p/s - băng vệ sinh,Đồ vệ sinh cá nhân,synthetic
tỏi túi 500g,Rau củ quả,synthetic
MỒNG TƠI GÓI 300G,Rau củ quả,synthetic
HÀNH LÁ,Rau củ quả,synthetic
MUỖNG INOX TÚI 2KG,Gia dụng,synthetic
kẹo dừa hộp 300g,Bánh kẹo,synthetic
vải pháp (kg),Trái cây,synthetic
bánh chocopie,Bánh kẹo,synthetic
TIÊU XAY - (CHAI) - VAT 8%,Đồ khô / Gia vị,synthetic
RAU MUỐNG TÚI 500G,Rau củ quả,synthetic
CLEAR - GEL RỬA TAY LỐC 3,Đồ vệ sinh cá nhân,synthetic
lock&lock - bật lửa chai 1l,Gia dụng,synthetic
đùi gà khay 500g,Thịt cá hải sản,synthetic
TÔM THẺ - (KHAY) - VAT 8%,Thịt cá hải sản,synthetic
NƯỚC HOA GÓI 24 MIẾNG,Đồ vệ sinh cá nhân,synthetic
KẸO DỪA GÓI 192G,Bánh kẹo,synthetic
DẦU ĂN,Đồ khô / Gia vị,synthetic
mồng tơi - (kg) - vat 5%,Rau củ quả,synthetic
chén sứ chai 750ml,Gia dụng,synthetic
oreo - bánh bông lan,Bánh kẹo,synthetic
ĐẬU CÔ VE BÓ,Rau củ quả,synthetic
THAU CHAI 750ML,Gia dụng,synthetic
bí đỏ,Rau củ quả,synthetic
nước hoa chai 650ml,Đồ vệ sinh cá nhân,synthetic
CHOCOPIE - KẸO MÚT LỐC 4,Bánh kẹo,synthetic
MẬN MỸ HỘP 500G,Trái cây,synthetic
NƯỚC TĂNG LỰC LON 330ML,Đồ uống,synthetic
HEAD & SHOULDERS - SỮA TẮM GÓI 10 MIẾNG,Đồ vệ sinh cá nhân,synthetic
NƯỚC ÉP TRÁI CÂY,Đồ uống,synthetic
khăn giấy tuýp 200g,Đồ vệ sinh cá nhân,synthetic
CẦU ĐẤT FARM - RAU DỀN,Rau củ quả,synthetic
quà tặng: phiếu mua hàng 50.000đ mua trái cây,Khác,synthetic
chiết khấu 70.000đ,Khác,synthetic
CẢI NGỌT - (GÓI) - VAT 5%,Rau củ quả,synthetic
KẸO DẺO,Bánh kẹo,synthetic
BÔNG CẢI XANH BÓ,Rau củ quả,synthetic
quà tặng: kem hộp cao cấp celano vani và hạt sôcôla 460ml,Khác,real
cà phê hòa tan thùng 24 lon,Đồ uống,synthetic
NHÃN THÁI LAN HỘP 500G,Trái cây,synthetic
bột giặt chai 1l,Gia dụng,synthetic
quà tặng: phiếu mua hàng 15.000đ mua cà phê,Khác,synthetic
mặt nạ tuýp 100g,Đồ vệ sinh cá nhân,synthetic
meatdeli - tôm khô,Thịt cá hải sản,synthetic
súp lơ (kg),Rau củ quả,synthetic
CẢI XANH GÓI 300G,Rau củ quả,synthetic
bánh quy gói 192g,Bánh kẹo,synthetic
rau dền gói 400gr,Rau củ quả,real
